1,1,1,1.0,3320,0
2,2,2,1.0,7624,0
3,3,3,1.0,4786,0
4,2,2,1.0,2065,0
5,3,3,1.0,4315,0
6,1,1,1.0,982,0
平均,2.0,2.0,1.0,3848.6666666666665,0.0
总时间,12.0,12.0,1.0,7624,0
